,0
624,0
8630,1
6307,1
3925,0
7925,1
9142,1
9109,1
1621,0
1163,0
36,0
3866,0
6755,1
8125,1
4924,1
2051,0
8902,1
6592,1
196,0
2516,0
7906,1
5780,1
306,0
2807,0
5680,1
8591,1
880,0
5274,1
4969,1
1444,0
1547,0
4446,0
3035,0
5569,1
7175,1
6970,1
5206,1
2878,0
7341,1
649,0
8524,1
6425,1
5231,1
2453,0
2209,0
7323,1
1772,0
4760,1
3344,0
6768,1
941,0
1961,0
205,0
6655,1
384,0
6820,1
6547,1
353,0
8836,1
733,0
866,0
2325,0
2085,0
6634,1
3548,0
2760,0
1309,0
3892,0
1890,0
5030,1
2293,0
7504,1
7252,1
9057,1
1941,0
2174,0
4860,1
6698,1
7687,1
2133,0
8286,1
6180,1
428,0
6298,1
169,0
3334,0
2061,0
1047,0
2306,0
1575,0
3189,0
3179,0
4991,1
6042,1
3278,0
1316,0
6678,1
8580,1
3496,0
7370,1
7347,1
2260,0
5720,1
1624,0
6364,1
8091,1
548,0
1237,0
4044,0
6363,1
3027,0
1974,0
3927,0
583,0
2513,0
3131,0
2283,0
7105,1
435,0
5790,1
6270,1
9184,1
4516,0
8535,1
2989,0
9149,1
1436,0
6611,1
8882,1
7944,1
5777,1
4091,0
8373,1
3231,0
3269,0
4137,0
6855,1
7216,1
3740,0
4363,0
1474,0
2377,0
3902,0
4794,1
7117,1
839,0
8083,1
8190,1
4056,0
8390,1
5038,1
8887,1
2853,0
5483,1
1984,0
5948,1
7288,1
4798,1
9203,1
4108,0
8806,1
5129,1
4563,0
3537,0
5809,1
2843,0
551,0
7574,1
3539,0
8484,1
9115,1
3704,0
4495,0
6446,1
1865,0
1611,0
6199,1
8764,1
3469,0
1148,0
8062,1
584,0
7143,1
1999,0
6386,1
7328,1
7737,1
5712,1
8938,1
5544,1
6094,1
8376,1
8044,1
9145,1
8865,1
8463,1
7116,1
5327,1
1191,0
8953,1
2743,0
2584,0
2859,0
8754,1
5672,1
6440,1
5163,1
3625,0
1853,0
868,0
2875,0
8682,1
1811,0
3221,0
3646,0
8654,1
1633,0
8838,1
9191,1
1857,0
594,0
627,0
764,0
8466,1
3381,0
6063,1
7752,1
3268,0
1933,0
877,0
4241,0
6723,1
2364,0
3313,0
4205,0
2702,0
5182,1
8565,1
8785,1
2777,0
1360,0
103,0
3063,0
5455,1
5702,1
4526,0
6278,1
1751,0
4994,1
3353,0
9274,1
2522,0
4574,0
8796,1
284,0
7689,1
1544,0
4514,0
7241,1
875,0
8155,1
9250,1
2066,0
2636,0
6881,1
2237,0
4750,1
2946,0
8929,1
8078,1
5146,1
1888,0
7394,1
6555,1
5843,1
851,0
2023,0
547,0
5120,1
498,0
8684,1
7668,1
2147,0
6679,1
5556,1
4335,0
8349,1
2397,0
3068,0
7744,1
1825,0
1156,0
7306,1
1214,0
3302,0
2581,0
2161,0
7125,1
6818,1
4899,1
5353,1
5652,1
4254,0
212,0
785,0
5588,1
6549,1
6786,1
195,0
1655,0
4836,1
7931,1
5041,1
668,0
949,0
3457,0
5194,1
2430,0
8923,1
1397,0
5821,1
5272,1
466,0
3982,0
7204,1
8254,1
8728,1
557,0
9124,1
5955,1
7653,1
2509,0
823,0
1233,0
3613,0
4562,0
2756,0
2098,0
4497,0
2503,0
5768,1
3696,0
641,0
4133,0
1128,0
436,0
6495,1
7236,1
1048,0
3084,0
566,0
3317,0
1506,0
6584,1
425,0
6432,1
5496,1
3589,0
7759,1
2111,0
2472,0
1534,0
6399,1
6149,1
1734,0
4755,1
7594,1
2602,0
7178,1
2043,0
7101,1
356,0
8763,1
4928,1
737,0
2104,0
1363,0
7111,1
6595,1
3437,0
3099,0
2252,0
2562,0
6265,1
3394,0
3759,0
4346,0
7173,1
6746,1
1726,0
8832,1
4410,0
7042,1
1627,0
3326,0
6299,1
6148,1
1698,0
7266,1
7360,1
7089,1
1836,0
8178,1
5959,1
9232,1
7070,1
5905,1
8738,1
919,0
2500,0
9267,1
5899,1
5771,1
7577,1
3128,0
5911,1
4216,0
6410,1
6886,1
5855,1
8606,1
1337,0
6959,1
1377,0
7031,1
7845,1
73,0
7746,1
4471,0
768,0
276,0
1361,0
5995,1
5024,1
7924,1
2473,0
9186,1
7355,1
1782,0
2381,0
8049,1
6597,1
3092,0
2958,0
6145,1
1349,0
5008,1
3666,0
3379,0
2419,0
1876,0
3386,0
2399,0
7331,1
5017,1
9054,1
8830,1
6150,1
4619,0
2735,0
6563,1
7179,1
2967,0
179,0
6408,1
1398,0
5065,1
1580,0
2045,0
6989,1
1944,0
4842,1
5642,1
8649,1
6546,1
6591,1
4974,1
5462,1
8173,1
3910,0
2189,0
3421,0
8019,1
4210,0
2816,0
3736,0
6783,1
182,0
6871,1
3545,0
5618,1
4785,1
5376,1
615,0
4635,0
3250,0
7071,1
4229,0
6031,1
2273,0
4139,0
4357,0
1901,0
5716,1
6633,1
1921,0
3207,0
15,0
4730,1
1530,0
5317,1
1042,0
3069,0
7196,1
3238,0
6375,1
2099,0
4151,0
4166,0
6688,1
4067,0
7755,1
8638,1
6064,1
3989,0
7865,1
9094,1
608,0
4453,0
5165,1
5413,1
6061,1
5034,1
2911,0
5025,1
5951,1
2794,0
3622,0
2429,0
4913,1
2747,0
4833,1
3865,0
8246,1
7021,1
4672,1
8224,1
1100,0
2433,0
3090,0
1334,0
6152,1
3404,0
7374,1
9279,1
1371,0
3661,0
7081,1
4188,0
2543,0
7311,1
6125,1
259,0
1481,0
4926,1
6475,1
4447,0
6224,1
1696,0
595,0
1276,0
7765,1
8191,1
743,0
8617,1
8769,1
7974,1
8391,1
4894,1
7524,1
716,0
3358,0
6189,1
298,0
2716,0
5108,1
7932,1
6501,1
7754,1
8892,1
6704,1
7290,1
3686,0
4177,0
5247,1
4068,0
2866,0
6594,1
2221,0
8705,1
4011,0
1948,0
1937,0
2876,0
5593,1
3422,0
8084,1
8843,1
997,0
6220,1
860,0
4037,0
5221,1
1073,0
836,0
530,0
5139,1
5284,1
3320,0
2287,0
1827,0
2296,0
7500,1
776,0
1938,0
5613,1
663,0
976,0
462,0
966,0
5542,1
4499,0
7430,1
4792,1
123,0
6954,1
568,0
3746,0
7654,1
4496,0
8807,1
1132,0
4632,0
2246,0
5562,1
4101,0
8139,1
3889,0
609,0
7206,1
4977,1
6325,1
8413,1
712,0
303,0
4478,0
7455,1
8462,1
1634,0
2135,0
6188,1
1124,0
1080,0
6557,1
7527,1
8883,1
5014,1
2166,0
149,0
7624,1
373,0
8200,1
6962,1
510,0
4170,0
3417,0
878,0
331,0
9208,1
1584,0
6898,1
8648,1
1840,0
4834,1
7873,1
2700,0
279,0
8370,1
2205,0
6151,1
1925,0
5454,1
3503,0
6336,1
4975,1
6170,1
3213,0
6059,1
4040,0
8651,1
8346,1
747,0
7671,1
5225,1
6208,1
3098,0
4162,0
4266,0
8822,1
316,0
6923,1
5100,1
7006,1
1170,0
2130,0
740,0
7784,1
2475,0
8626,1
181,0
6171,1
7741,1
125,0
8278,1
1663,0
1322,0
8783,1
1268,0
8310,1
8552,1
7721,1
7339,1
5600,1
2662,0
5446,1
7115,1
6156,1
7593,1
9166,1
4268,0
5695,1
5607,1
6681,1
1717,0
4937,1
7696,1
2974,0
5554,1
7479,1
1867,0
3631,0
3350,0
8258,1
8960,1
2644,0
4269,0
7571,1
3510,0
3074,0
451,0
3093,0
5400,1
2556,0
3241,0
5774,1
689,0
2802,0
3671,0
9163,1
346,0
2978,0
5226,1
4400,0
2996,0
8848,1
5892,1
1074,0
7981,1
6309,1
9237,1
2183,0
1263,0
1638,0
1423,0
5342,1
8444,1
3692,0
4712,1
1619,0
3260,0
3922,0
7629,1
7468,1
6285,1
7701,1
6203,1
3868,0
5056,1
2412,0
8618,1
500,0
68,0
4127,0
3817,0
7886,1
3299,0
3304,0
987,0
1105,0
4319,0
6579,1
4421,0
6168,1
6129,1
3908,0
6006,1
4391,0
5406,1
4467,0
2940,0
3333,0
1668,0
6212,1
5461,1
477,0
7850,1
3342,0
2335,0
1749,0
7423,1
8520,1
4699,1
804,0
2406,0
1443,0
1137,0
3742,0
4997,1
3380,0
5568,1
83,0
4906,1
1241,0
6022,1
6436,1
5500,1
7939,1
7198,1
3799,0
7997,1
7966,1
7801,1
7353,1
6644,1
7415,1
2963,0
7992,1
7155,1
2010,0
5102,1
1785,0
4464,0
6620,1
8165,1
2942,0
9119,1
3399,0
5325,1
4136,0
5756,1
3017,0
4816,1
7982,1
6438,1
3562,0
1839,0
6258,1
5670,1
2439,0
3855,0
6302,1
1017,0
93,0
6366,1
8321,1
5878,1
4256,0
7307,1
4501,0
563,0
8146,1
1854,0
6571,1
1400,0
5174,1
8318,1
8828,1
6523,1
7635,1
9118,1
6913,1
7552,1
2752,0
4656,1
7063,1
2889,0
4677,1
4158,0
9207,1
959,0
317,0
9038,1
2162,0
2678,0
8620,1
2796,0
8703,1
2563,0
474,0
799,0
5896,1
244,0
1362,0
8509,1
3024,0
5332,1
4546,0
307,0
5043,1
6202,1
4762,1
1039,0
5770,1
1603,0
5249,1
5351,1
9025,1
288,0
1830,0
208,0
8568,1
4857,1
85,0
9247,1
175,0
7618,1
5884,1
8691,1
4275,0
1914,0
2171,0
750,0
2724,0
4993,1
5589,1
4297,0
6459,1
5067,1
4783,1
8308,1
3484,0
7630,1
6998,1
2722,0
1531,0
6942,1
7369,1
3021,0
1433,0
956,0
2265,0
273,0
1446,0
1027,0
1664,0
4941,1
2972,0
8378,1
5335,1
6053,1
45,0
5526,1
5445,1
2015,0
6241,1
8660,1
1494,0
97,0
6648,1
643,0
1031,0
1437,0
7336,1
5475,1
2059,0
7517,1
4365,0
7040,1
7715,1
2302,0
2669,0
5977,1
3214,0
1873,0
929,0
8624,1
173,0
6038,1
8911,1
420,0
7917,1
48,0
8460,1
5304,1
3560,0
237,0
1235,0
8503,1
6990,1
4020,0
5651,1
7027,1
4608,0
869,0
3373,0
3277,0
4824,1
9125,1
6119,1
8354,1
665,0
8348,1
2833,0
6778,1
8399,1
8935,1
6104,1
5180,1
2257,0
0,0
8471,1
1064,0
7226,1
2788,0
5023,1
1243,0
7188,1
5683,1
1688,0
1224,0
6084,1
2052,0
4107,0
1709,0
3293,0
6986,1
1791,0
8104,1
132,0
4208,0
7376,1
2939,0
8210,1
8404,1
4063,0
5616,1
4539,0
4633,0
2003,0
9269,1
1065,0
1092,0
6916,1
421,0
3266,0
5730,1
3275,0
2660,0
8768,1
3280,0
1787,0
6173,1
3728,0
2284,0
3495,0
8257,1
3183,0
8046,1
5283,1
67,0
5924,1
8368,1
8732,1
7520,1
8401,1
1339,0
1022,0
6395,1
6085,1
7521,1
2055,0
6590,1
7562,1
2892,0
7885,1
8816,1
6660,1
7643,1
4761,1
5986,1
6504,1
3200,0
1291,0
4828,1
7622,1
3664,0
2476,0
1149,0
618,0
8815,1
8849,1
1450,0
2904,0
3384,0
3741,0
6533,1
2152,0
6777,1
4966,1
4581,0
202,0
1590,0
2067,0
7064,1
3522,0
2187,0
6099,1
1335,0
1087,0
9074,1
9148,1
7495,1
9253,1
6269,1
6158,1
8490,1
1358,0
3195,0
7522,1
7383,1
1091,0
9095,1
5876,1
4427,0
7427,1
1469,0
5081,1
8640,1
2044,0
1253,0
1880,0
2408,0
6382,1
8558,1
5612,1
3163,0
3904,0
5236,1
2321,0
5773,1
1184,0
5360,1
6491,1
9053,1
9076,1
2759,0
5789,1
8670,1
6817,1
80,0
9165,1
4064,0
8829,1
2393,0
8951,1
4841,1
7820,1
3651,0
7706,1
8256,1
1160,0
7003,1
8786,1
1555,0
1601,0
7731,1
5150,1
4017,0
8442,1
9179,1
841,0
5127,1
6002,1
648,0
7922,1
7745,1
6281,1
9081,1
2033,0
8255,1
6479,1
2269,0
5149,1
3760,0
3370,0
6426,1
7910,1
8430,1
8813,1
2873,0
625,0
6465,1
2097,0
4810,1
795,0
9264,1
8432,1
71,0
2791,0
9261,1
1104,0
7498,1
2244,0
5061,1
2809,0
363,0
1280,0
5582,1
3347,0
8472,1
3811,0
1302,0
61,0
5944,1
943,0
2199,0
5176,1
4074,0
1662,0
8251,1
7814,1
1081,0
900,0
9265,1
5415,1
7390,1
6537,1
178,0
7638,1
2202,0
5292,1
2990,0
2949,0
6748,1
5387,1
1120,0
2755,0
2589,0
1146,0
1016,0
5950,1
881,0
519,0
8172,1
2170,0
8895,1
5786,1
1378,0
2481,0
41,0
3603,0
4298,0
1083,0
8788,1
928,0
8577,1
2659,0
7419,1
4150,0
7033,1
2826,0
2774,0
1844,0
4826,1
8612,1
5746,1
6524,1
7818,1
4888,1
3529,0
2613,0
8410,1
1131,0
7697,1
4953,1
4072,0
4485,0
8319,1
2851,0
5687,1
7139,1
5934,1
5256,1
7043,1
8498,1
2217,0
4437,0
3117,0
8537,1
9243,1
1832,0
7176,1
4690,1
8942,1
4219,0
2740,0
9273,1
6559,1
4803,1
7214,1
4864,1
3682,0
5021,1
579,0
1226,0
9015,1
8661,1
2787,0
5946,1
1617,0
5419,1
4278,0
5423,1
8720,1
5306,1
521,0
6719,1
3475,0
3029,0
3778,0
4175,0
3717,0
2803,0
6507,1
3303,0
4215,0
5635,1
3312,0
3088,0
5282,1
5621,1
8017,1
5641,1
8474,1
4122,0
894,0
692,0
7936,1
6282,1
812,0
3862,0
255,0
1810,0
6292,1
3593,0
3641,0
3432,0
3108,0
326,0
8658,1
454,0
2885,0
1055,0
5660,1
4155,0
629,0
1028,0
2167,0
9105,1
6447,1
2571,0
3294,0
2821,0
3184,0
6939,1
2835,0
2631,0
588,0
4654,1
6182,1
8392,1
9177,1
1106,0
5983,1
4623,0
1188,0
6297,1
2479,0
6339,1
1835,0
556,0
9197,1
3180,0
4492,0
8398,1
6689,1
1564,0
5456,1
8639,1
448,0
3487,0
8087,1
2449,0
2094,0
3873,0
115,0
5752,1
6473,1
126,0
5245,1
8461,1
6233,1
8969,1
5466,1
8968,1
7205,1
2808,0
8776,1
564,0
8604,1
3083,0
6707,1
7955,1
5013,1
2539,0
6070,1
2528,0
856,0
4290,0
8164,1
5623,1
3046,0
7711,1
3401,0
5523,1
7884,1
447,0
1359,0
9187,1
8405,1
3689,0
3296,0
1364,0
522,0
8850,1
4960,1
7639,1
7233,1
5691,1
5267,1
4856,1
5218,1
2653,0
3652,0
5920,1
7077,1
8076,1
5114,1
6239,1
914,0
540,0
5177,1
7472,1
7475,1
4189,0
8038,1
3225,0
8779,1
4252,0
396,0
2887,0
4371,0
101,0
2402,0
6060,1
7726,1
2725,0
4583,0
8805,1
3718,0
1368,0
8000,1
592,0
700,0
3835,0
3094,0
3244,0
6814,1
180,0
3352,0
4557,0
7864,1
1451,0
2355,0
4503,0
5914,1
6345,1
1477,0
2359,0
1355,0
8569,1
5097,1
5647,1
2598,0
6461,1
4394,0
3100,0
3883,0
3524,0
1068,0
5663,1
1552,0
8573,1
3161,0
6675,1
1338,0
7147,1
8105,1
5535,1
5071,1
6749,1
5427,1
226,0
6539,1
64,0
1560,0
9172,1
8302,1
6502,1
1403,0
8777,1
7225,1
6062,1
8095,1
5927,1
6046,1
1186,0
7712,1
723,0
9271,1
6568,1
489,0
1955,0
6176,1
3018,0
3669,0
6211,1
8674,1
532,0
6982,1
74,0
6056,1
9029,1
7976,1
2466,0
695,0
2736,0
8189,1
8427,1
3140,0
7569,1
5045,1
3729,0
2270,0
7372,1
5761,1
7259,1
9214,1
3653,0
7896,1
8157,1
2427,0
2712,0
4790,1
3001,0
808,0
2995,0
2817,0
4187,0
8841,1
8097,1
7202,1
8497,1
2971,0
4772,1
7280,1
3253,0
5931,1
340,0
3310,0
2379,0
5583,1
8563,1
354,0
607,0
8880,1
8040,1
8500,1
7082,1
779,0
4454,0
183,0
6528,1
706,0
4729,1
3216,0
1407,0
6262,1
5219,1
601,0
6082,1
6892,1
3678,0
7836,1
1454,0
3107,0
8932,1
8623,1
3897,0
4293,0
4288,0
8907,1
6108,1
5849,1
5133,1
5637,1
3807,0
4226,0
6166,1
6791,1
248,0
1336,0
3632,0
5234,1
4255,0
8818,1
335,0
7846,1
3555,0
6480,1
6329,1
8004,1
2071,0
2328,0
4689,1
106,0
3045,0
6098,1
7011,1
6466,1
4759,1
8916,1
7350,1
4235,0
8284,1
2001,0
1427,0
5151,1
4231,0
5119,1
7090,1
4544,0
350,0
6009,1
8588,1
2628,0
6731,1
3467,0
5917,1
4411,0
2877,0
7961,1
265,0
2380,0
3827,0
1060,0
7508,1
8871,1
674,0
9068,1
5543,1
7153,1
5344,1
5142,1
7149,1
6792,1
853,0
52,0
5326,1
565,0
7685,1
1934,0
7774,1
1898,0
9141,1
360,0
5341,1
1697,0
1496,0
8356,1
4988,1
6772,1
4684,1
3743,0
7127,1
3061,0
2463,0
8003,1
6291,1
6949,1
5751,1
1271,0
8485,1
662,0
2081,0
399,0
7254,1
8652,1
6037,1
7545,1
320,0
9190,1
1942,0
2547,0
2468,0
2128,0
596,0
8817,1
3602,0
7796,1
5576,1
3329,0
8701,1
1251,0
5261,1
221,0
4819,1
5299,1
5847,1
6525,1
4328,0
5900,1
5830,1
8939,1
558,0
2732,0
5122,1
816,0
3261,0
1661,0
1172,0
1786,0
4793,1
4765,1
241,0
3767,0
5697,1
4898,1
3846,0
322,0
4708,1
7438,1
4935,1
2124,0
3870,0
6115,1
455,0
2218,0
9198,1
370,0
845,0
7937,1
105,0
3507,0
906,0
4629,0
1980,0
5708,1
876,0
4738,1
5545,1
2320,0
1426,0
6845,1
1416,0
896,0
6511,1
6668,1
4260,0
4296,0
7507,1
6209,1
4980,1
6782,1
1958,0
1926,0
2154,0
2407,0
1583,0
3937,0
6394,1
6702,1
5432,1
5933,1
7838,1
5410,1
6110,1
3700,0
8174,1
3590,0
9211,1
4308,0
5574,1
724,0
7935,1
6077,1
6210,1
6014,1
7692,1
1748,0
3513,0
3918,0
7452,1
7061,1
5143,1
3701,0
287,0
5433,1
7424,1
2485,0
6804,1
829,0
4822,1
1551,0
6709,1
5831,1
6122,1
1553,0
304,0
4634,0
6771,1
5414,1
3852,0
2771,0
3648,0
7053,1
6766,1
1808,0
6544,1
7764,1
4459,0
8066,1
3351,0
3913,0
924,0
4201,0
1673,0
6441,1
6929,1
3170,0
4487,0
7810,1
5763,1
3065,0
2704,0
9031,1
2200,0
9154,1
1030,0
5640,1
6979,1
6987,1
9192,1
7623,1
7611,1
8940,1
5980,1
758,0
3393,0
3814,0
1352,0
164,0
3285,0
659,0
6895,1
8553,1
7972,1
411,0
6455,1
4186,0
3566,0
3536,0
6730,1
8294,1
8693,1
7709,1
7809,1
2105,0
7691,1
4398,0
3368,0
1518,0
2038,0
6165,1
4018,0
9024,1
5124,1
3585,0
4475,0
7020,1
6512,1
8589,1
4773,1
7908,1
6213,1
5871,1
571,0
430,0
813,0
4230,0
9254,1
5960,1
2109,0
505,0
3670,0
2674,0
4713,1
6961,1
5727,1
1522,0
4352,0
5195,1
2937,0
7104,1
76,0
554,0
1565,0
1509,0
8481,1
9245,1
7385,1
6737,1
7628,1
7856,1
4323,0
7600,1
1295,0
1058,0
1922,0
7995,1
1516,0
285,0
3444,0
5634,1
2179,0
278,0
4659,1
366,0
1645,0
4167,0
1093,0
8132,1
637,0
5453,1
6431,1
7826,1
1307,0
4956,1
8372,1
5188,1
1289,0
6106,1
4372,0
6604,1
5961,1
6416,1
5381,1
3235,0
7848,1
5339,1
6910,1
2896,0
3149,0
5744,1
3419,0
2249,0
281,0
6492,1
8240,1
3958,0
7724,1
8516,1
6229,1
2605,0
7494,1
7694,1
1096,0
4742,1
9157,1
7168,1
9223,1
8028,1
4788,1
7695,1
7145,1
8536,1
670,0
7994,1
9111,1
5692,1
7028,1
1620,0
9114,1
2837,0
3714,0
9069,1
8690,1
419,0
8166,1
5110,1
553,0
1714,0
4200,0
8547,1
4844,1
5705,1
6713,1
6608,1
5516,1
4589,0
3706,0
8984,1
7991,1
5118,1
6573,1
3441,0
8766,1
4640,1
3794,0
5246,1
8199,1
452,0
742,0
6253,1
7619,1
2077,0
2185,0
9173,1
4062,0
962,0
4123,0
6067,1
7282,1
2020,0
7141,1
3978,0
3291,0
1495,0
7009,1
4985,1
5319,1
3944,0
4599,0
9131,1
2132,0
5011,1
6322,1
4085,0
3697,0
7573,1
5080,1
7248,1
6803,1
3785,0
152,0
6572,1
5095,1
8791,1
502,0
3188,0
1417,0
2390,0
1983,0
8457,1
5359,1
970,0
8324,1
1497,0
7291,1
8556,1
7704,1
2137,0
1542,0
2652,0
292,0
5402,1
7393,1
2229,0
773,0
1462,0
3175,0
2207,0
9083,1
1071,0
6788,1
4379,0
1684,0
9185,1
9040,1
4181,0
5092,1
6164,1
3876,0
4854,1
6893,1
7951,1
934,0
550,0
8879,1
404,0
72,0
6866,1
6068,1
2828,0
5644,1
8637,1
2959,0
5230,1
7867,1
1488,0
6973,1
1524,0
8753,1
8585,1
2016,0
8180,1
5109,1
5812,1
2895,0
6519,1
2656,0
8924,1
6914,1
5943,1
6826,1
2583,0
937,0
24,0
5928,1
1769,0
8476,1
3681,0
3185,0
3150,0
5866,1
4218,0
3853,0
1746,0
7144,1
7760,1
3712,0
6656,1
920,0
8578,1
1088,0
7923,1
2944,0
6873,1
4601,0
8009,1
3049,0
1044,0
1721,0
5558,1
7516,1
6228,1
4754,1
271,0
4626,0
8451,1
6831,1
1616,0
5330,1
87,0
6049,1
1793,0
4265,0
1123,0
4083,0
391,0
7124,1
2618,0
286,0
6131,1
5735,1
475,0
7943,1
37,0
2641,0
9060,1
2650,0
4347,0
4414,0
6762,1
4731,1
3943,0
7321,1
8402,1
1587,0
1879,0
8128,1
3851,0
2727,0
1234,0
952,0
1220,0
4694,1
8446,1
8252,1
8812,1
9160,1
4897,1
147,0
2609,0
1862,0
4512,0
1077,0
6823,1
6454,1
4837,1
2247,0
2435,0
2343,0
8985,1
7299,1
5392,1
5082,1
2069,0
4470,0
5626,1
6586,1
5988,1
401,0
133,0
2588,0
8234,1
3850,0
5204,1
5135,1
7256,1
266,0
4080,0
2519,0
6335,1
3875,0
4397,0
5906,1
3935,0
8941,1
6086,1
1935,0
2062,0
8467,1
96,0
5862,1
5666,1
3020,0
8100,1
2637,0
6223,1
1107,0
6323,1
1491,0
984,0
6692,1
7604,1
3318,0
250,0
8103,1
1593,0
840,0
7710,1
8496,1
1571,0
1800,0
2230,0
8544,1
5212,1
8526,1
2507,0
8823,1
2426,0
7397,1
6581,1
4767,1
5123,1
5648,1
4483,0
6605,1
4008,0
1167,0
9086,1
8327,1
2374,0
8056,1
3234,0
3242,0
2819,0
5152,1
6726,1
3725,0
6936,1
8634,1
8403,1
504,0
7085,1
5492,1
4963,1
1626,0
5907,1
874,0
3534,0
4787,1
4874,1
2845,0
2190,0
4178,0
656,0
6361,1
8167,1
6665,1
12,0
658,0
4766,1
1646,0
3810,0
1568,0
7941,1
5126,1
6770,1
8204,1
4908,1
1902,0
7914,1
8912,1
1315,0
4481,0
884,0
7822,1
5253,1
2047,0
7964,1
7045,1
7634,1
3237,0
4092,0
77,0
3788,0
6517,1
4026,0
9050,1
7804,1
8875,1
7228,1
1699,0
6999,1
3502,0
1198,0
4073,0
2922,0
2012,0
886,0
2180,0
6036,1
2487,0
4682,1
827,0
4424,0
6691,1
2970,0
5845,1
7502,1
1803,0
5489,1
6598,1
7714,1
4042,0
1227,0
4124,0
5277,1
5586,1
809,0
6217,1
8280,1
968,0
6398,1
6758,1
528,0
5403,1
1331,0
1493,0
7525,1
9035,1
122,0
675,0
8270,1
8989,1
8412,1
6520,1
120,0
3443,0
3738,0
8101,1
4192,0
4315,0
7135,1
2614,0
2262,0
6332,1
3679,0
961,0
3174,0
369,0
7375,1
999,0
2431,0
8299,1
4984,1
1415,0
5836,1
796,0
8811,1
5497,1
8901,1
517,0
5539,1
3288,0
431,0
4442,0
8664,1
1837,0
3097,0
8886,1
6830,1
5248,1
1069,0
7927,1
3181,0
4621,0
8168,1
4936,1
4695,1
18,0
6659,1
8593,1
7929,1
4032,0
3462,0
5312,1
5210,1
2391,0
8995,1
6802,1
4472,0
8367,1
8357,1
3229,0
5367,1
8359,1
7095,1
7750,1
4374,0
5766,1
1650,0
2647,0
2181,0
4879,1
5758,1
26,0
8379,1
1126,0
6839,1
1635,0
4585,0
1380,0
2909,0
4706,1
3647,0
5677,1
5507,1
5698,1
5772,1
3398,0
1912,0
4662,1
2952,0
539,0
1006,0
6497,1
7563,1
7446,1
7659,1
7792,1
4657,1
3340,0
1951,0
8468,1
693,0
6417,1
8120,1
8118,1
4889,1
8950,1
7010,1
4149,0
3130,0
8842,1
220,0
2776,0
7546,1
2497,0
5737,1
4652,1
1508,0
5675,1
8646,1
6977,1
3890,0
1134,0
82,0
2927,0
6891,1
439,0
4992,1
2307,0
6971,1
3172,0
